TITLE,ABSTRACT,PUBLICATION YEAR,AUTHORS,JOURNAL,KEYWORDS
The Combinator - a computer-based tool for creative idea generation based on a simulation approach,"Idea generation is significant in design, but coming up with creative ideas is often challenging. This paper presents a computer-based tool, called the Combinator, for assisting designers to produce creative ideas. The tool is developed based on an approach simulating aspects of human cognition in achieving combinational creativity. It can generate combinational prompts in text and image forms through combining unrelated ideas. A case study has been conducted to evaluate the Combinator. The study results indicate that the Combinator, in its current formulation, has assisted the tool users involved in the case study in improving the fluency of idea generation, as well as increasing the originality, usefulness, and flexibility of the ideas generated. The results also indicate that the tool could benefit its users in generating high-novelty and high-quality ideas effectively. The Combinator is considered to be beneficial in expanding the design space, increasing better idea occurrence, improving design space exploration, and enhancing the design success rate.",2018,"Han, J; Shi, F; Chen, LQ; Childs, PRN",DESIGN SCIENCE,creativity; combinational creativity; design tools; computer supported design; idea generation; DESIGN; QUALITY; MODELS
Analysis of sentiment expressions for user-centered design,"Devising intelligent systems capable of identifying the idiosyncratic needs of users at scale and translating them into attribute-level design feedback and recommendations is a key prerequisite for successful user-centered design processes. Recent studies show that 49% of design firms lack systems and tools for monitoring external platforms, and only 8% have adopted digital, data-driven approaches for new product development despite acknowledging them as a high priority. The state-of-the-art attribute-level sentiment analysis approaches based on deep learning have achieved promising results; however, these methods pose strict preconditions, require manually labeled data for training and pre-defined attributes by experts, and only classify sentiments intro predefined categories which have limited implications for designers. This article develops a rule-based methodology for extracting and analyzing the sentiment expressions of users on a large scale, from myriad reviews available on social media and e-commerce platforms. The methodology further advances current unsupervised attribute-level sentiment analysis approaches by enabling efficient identification and mapping of sentiment expressions of individual users onto their respective attributes. Experiments on a large dataset scraped from a major e-commerce retail store for apparel and indicate 74.3%?93.8% precision in extracting attribute-level sentiment expressions of users and demonstrate the feasibility and potentials of the developed methodology for large-scale need finding from user reviews.",2021,"Han, Yi; Moghaddam, Mohsen",EXPERT SYSTEMS WITH APPLICATIONS,Natural language processing; Sentiment analysis; Information extraction; User-centered design
Eliciting Attribute-Level User Needs From Online Reviews With Deep Language Models and Information Extraction,"Eliciting user needs for individual components and features of a product or a service on a large scale is a key requirement for innovative design. Synthesizing data as an initial discovery phase of a design process is usually accomplished with a small number of participants, employing qualitative research methods such as observations, focus groups, and interviews. This leaves an entire swath of pertinent user behavior, preferences, and opinions not captured. Sentiment analysis is a key enabler for large-scale need finding from online user reviews generated on a regular basis. A major limitation of current sentiment analysis approaches used in design sciences, however, is the need for laborious labeling and annotation of large review datasets for training, which in turn hinders their scalability and transferability across different domains. This article proposes an efficient and scalable methodology for automated and large-scale elicitation of attribute-level user needs. The methodology builds on the state-of-the-art pretrained deep language model, BERT (Bidirectional Encoder Representations from Transformers), with new convolutional net and named entity recognition (NER) layers for extracting attribute, description, and sentiment words from online user review corpora. The machine translation algorithm BLEU (BiLingual Evaluation Understudy) is utilized to extract need expressions in the form of predefined part-of-speech combinations (e.g., adjective-noun, verb-noun). Numerical experiments are conducted on a large dataset scraped from a major e-commerce retail store for apparel and footwear to demonstrate the performance, feasibility, and potentials of the developed methodology.",2021,"Han, Yi; Moghaddam, Mohsen",JOURNAL OF MECHANICAL DESIGN,natural language processing; product design; machine learning; data-driven design; e-commerce; user-centered design; BERT; named entity recognition
A function-based computational method for design concept evaluation,"Concept generation is an indispensable step of innovation design. However, the limited knowledge and design thinking fixation of designers often impede the generation of novel design concepts. Computational tools can be a necessary supplement for designers. They can generate a big number of design concepts based on an existing knowledge base. For filtering these design concepts, this work presents a computational measurement of novelty, feasibility and diversity based on 500,000 granted patents. First, about 1700 functional terms (terminologies) are mapped to high dimensional vectors (100 dimensional space) by word embedding technique. The resulted database is knowledge base-I (KB-I). Then, we adopt circular convolution to convert patents into high dimensional vectors. The resulted database is KB-II. Based on the two knowledge bases, the computational definitions of novelty, feasibility and diversity are developed. We conduct six experiments based on KB-II, a random dataset and a real product dataset, and the results show that these metrics can be used to roughly filter a big number of design concepts, and then expert-based method can be further used. This work provides a computational framework for measuring the novelty, feasibility and diversity of design concept. (C) 2017 Elsevier Ltd. All rights reserved.",2017,"Hao, Jia; Zhao, Qiangfu; Yan, Yan",ADVANCED ENGINEERING INFORMATICS,Concept generation; Evaluation metrics; Function basis; Word-embedding
Mining and Representing the Concept Space of Existing Ideas for Directed Ideation,"Design innovation projects often generate large numbers of design ideas from designers, users, and, increasingly, the crowd over the Internet. Such idea data are often used for selection and implementation but, in fact, can 1also be used as sources of inspiration for further idea generation. In particular, the elementary concepts that underlie the original ideas can be recombined to generate new ideas. But it is not a trivial task to retrieve concepts from raw lists of ideas and data sources in a manner that can stimulate or generate new ideas. A significant difficulty lies in the fact that idea data are often expressed in unstructured natural languages. This paper develops a methodology that uses natural language processing to extract key words as elementary concepts embedded in massive idea descriptions and represents the elementary concept space in a core-periphery structure to direct the recombination of elementary concepts into new ideas. We apply the methodology to mine and represent the concept space underlying massive crowdsourced ideas and use it to generate new ideas for future transportation system designs in a real public sector-sponsored project via humans and automated computer programs. Our analysis of the human and computer recombination processes and outcomes sheds light on future research directions for artificial intelligence in design ideation.",2019,"He, YJ; Camburn, B; Liu, HW; Luo, JX; Yang, M; Wood, KL",JOURNAL OF MECHANICAL DESIGN,computer-aided design; conceptual design; creativity and concept generation; NAMED ENTITY RECOGNITION; SELECTIVE RETENTION; BLIND VARIATION; GENERATION; ANALOGY; IMPACT
Ontology based knowledge extraction for shipyard fabrication workshop reports,"In this paper, a method to extract knowledge from a set of surveyors' reports is proposed. Many surveyors from shipping companies are working in shipyards to improve the quality and to meet requirements of the ship owner. At present, the reports from surveyors are used only for managing the status of problems of the product. The proposed method here has three steps. First, the description field of the reports which contains information about some trouble is summarized in a pair of a component name and a trouble name in the failure database; this is made possible through text-processing technology. Second, synonymous component and trouble names are consolidated into normalized terms using synonym ontology to prepare this information for statistical analysis. The synonym ontology is developed prior to this procedure. The system evaluates frequent trouble records by classifying the records using component and process ontology. In the last step, the designers extract knowledge from the information generated by the system. The results illustrate common design problems, and the method is proved to be useful. (C) 2010 Elsevier Ltd. All rights reserved.",2010,"Hiekata, Kazuo; Yamato, Hiroyuki; Tsujimoto, Sho",EXPERT SYSTEMS WITH APPLICATIONS,Ontology; Knowledge extraction; Failure report; Text processing
Mining Changes in User Expectation Over Time From Online Reviews,"Customers post online reviews at any time. With the timestamp of online reviews, they can be regarded as a flow of information. With this characteristic, designers can capture the changes in customer feedback to help set up product improvement strategies. Here, we propose an approach for capturing changes in user expectation on product affordances based on the online reviews for two generations of products. First, the approach uses a rule-based natural language processing method to automatically identify and structure product affordances from review text. Then, inspired by the Kano model which classifies preferences of product attributes in five categories, conjoint analysis is used to quantitatively categorize the structured affordances. Finally, changes in user expectation can be found by applying the conjoint analysis on the online reviews posted for two successive generations of products. A case study based on the online reviews of Kindle e-readers downloaded from amazon. com shows that designers can use our proposed approach to evaluate their product improvement strategies for previous products and develop new product improvement strategies for future products.",2019,"Hou, TJ; Yannou, B; Leroy, Y; Poirson, E",JOURNAL OF MECHANICAL DESIGN,; DESIGN; AFFORDANCES
Discovering taxonomic structure in design archives with application to risk-mitigating actions in a large engineering organisation,"This paper demonstrates a general iterative technique for discovering a taxonomy that categorises information contained within a weakly structured design project archive. It is common for large engineering organisations to maintain archives about past design projects. In principle, engineering organisations could mine these archives to extract useful lessons and relationships that would improve future design projects. However, this is difficult in practice, since archives often consist of weakly structured data formats, such as plaintext documentation. This restricts the use of many useful analysis tools. The taxonomy-discovery process presented here is a critical first step towards unlocking the value of such archives. The technique is based on methods from the qualitative research literature. We demonstrate this process by creating a taxonomy of risk-mitigating actions in design projects based on a design project archive from a large engineering organisation. We discuss practical considerations such as missing contextual information as part of the case study. The taxonomy is sufficiently generic to be of use to other organisations. Furthermore, individual organisations can use the iterative technique introduced in this paper to tailor the taxonomy to their own project archives. Thus, this research provides an important foundation for unlocking the value of archived design project information.",2016,"Hsiao, C; Ruffino, M; Malak, R; Tumer, IY; Doolen, T",JOURNAL OF ENGINEERING DESIGN,taxonomies; Design information management; risk analysis and management; knowledge representation; INFORMATION; ONTOLOGIES; AGREEMENT; RELIABILITY; MANAGEMENT
Enabling the development of base domain ontology through extraction of knowledge from engineering domain handbooks,"Domain ontology, encompassing both concepts and instances, along with their relations and properties, is a new medium for the storage and propagation of domain specific knowledge. A significant problem remains the effort which must be expended during ontology construction. This involves collecting the domain-related vocabularies, developing the domain concept hierarchy, and defining the properties of each concept and the relationships between concepts. Recently several engineering handbooks have described detailed domain knowledge by organizing the knowledge into categories, sections, and chapters with indices in the appendix. This paper proposes the extraction of concepts, instances, and relationships from a handbook of a specific domain to quickly construct base domain ontology as a good starting point for expediting the development process of more comprehensive domain ontology. The extracted information can also be reorganized and converted into web ontology language format to represent the base domain ontology. The generation of a base domain ontology from an Earthquake Engineering Handbook is used to illustrate the proposed approach. In addition, quality evaluation of the extracted base ontology is performed and discussed. (C) 2010 Elsevier Ltd. All rights reserved.",2011,"Hsieh, Shang-Hsien; Lin, Hsien-Tang; Chi, Nai-Wen; Chou, Kuang-Wu; Lin, Ken-Yu",ADVANCED ENGINEERING INFORMATICS,OWL; Domain ontology; Web ontology language; Domain handbook; Earthquake engineering
A collaborative desktop tagging system for group knowledge management based on concept space,"The advent of internet has led to a significant growth in the amount of information available, resulting in information overload, i.e. individuals have too much information to make a decision. To resolve this problem, collaborative tagging systems form a categorization called folksonomy in order to organize web resources. A folksonomy aggregates the results of personal free tagging of information and objects to form a categorization structure that applies utilizes the collective intelligence of crowds. Folksonomy is more appropriate for organizing huge amounts of information on the Web than traditional taxonomies established by expert cataloguers. However, the attributes of collaborative tagging systems and their folksonomy make them impractical for organizing resources in personal environments. This work designs a desktop collaborative tagging (DCT) system that enables collaborative workers to tag their documents. This work proposes an application in patent analysis based on the DCT system. Folksonomy in DCT is built by aggregating personal tagging results, and is represented by a concept space. Concept spaces provide synonym control, tag recommendation and relevant search. Additionally, to protect privacy of authors and to decrease the transmission cost, relations between tagged and untagged documents are constructed by extracting document's features rather than adopting the full text. Experimental results reveal that the adoption rate of recommended tags for new documents increases by 10% after users have tagged five or six documents. Furthermore, DCT can recommend tags with higher adoption rates when given new documents with similar topics to previously tagged ones. The relevant search in DCT is observed to be superior to keyword search when adopting frequently used tags as queries. The average precision, recall, and F-measure of DCT are 12.12%, 23.08%, and 26.92% higher than those of keyword searching. DCT allows a multi-faceted categorization of resources for collaborative workers and recommends tags for categorizing resources to simplify categorization easier. Additionally, DCT system provides relevance searching, which is more effective than traditional keyword searching for searching personal resources. Crown Copyright (C) 2008 Published by Elsevier Ltd. All rights reserved.",2009,"Hsieh, Wen-Tai; Stu, Jay; Chen, Yen-Lin; Chou, Seng-Cho Timothy",EXPERT SYSTEMS WITH APPLICATIONS,Folksonomy; Collaborative tagging; Concept space; Personal information management; Tagging
Constructing and measuring domain-specific emotions for affective design: a descriptive approach to deal with individual differences,"Assessing design solutions via domain-specific emotions has been widely concerned and explored in the field of affective design. However, the examination and accommodation of individual differences have not been settled sufficiently in the literature. To address this research gap, this paper proposes a descriptive approach to draw calibrated collective emotion patterns in survey-based affective design assessment. A `Repertory Grid Interview linked with Rate-All-That-Apply' (RGI/RATA) procedure is firstly conducted to elicit and code the individual's personal emotional descriptions into mid-level Emotion Words (EWs) and to gather emotion data grids with each grid quantified by an individual's own EWs. The obtained individualised emotion data grids are then subjected to Multiple Factor Analysis (MFA) to extract collective emotional space, thus to enable conceptualising collective emotional dimensions and measuring calibrated collective responses. A case study demonstrating the implementation process for a simple project of appearance design assessment is also presented. Practitioner Summary: The proposed methodology may help a design team to investigate the shared patterns of domain-specific emotions through a single assessment survey. With the provided post hoc analysis tools, designers may also evaluate multi-level individual differences (e.g. regarding user groups or even intra-individual) quantitatively and at a low cost.",2020,"Hu, Mingcai; Guo, Fu; Duffy, Vincent G.; Ren, Zenggen; Yue, Peng",ERGONOMICS,affective design; individual differences; Domain-specific emotions; multiple factor analysis; repertory grid interview
CACDA: A knowledge graph for a context-aware cognitive design assistant,"The design of complex engineered systems highly relies on a laborious zigzagging between computeraided design (CAD) software and design rules prescribed by design manuals. Despite the emergence of knowledge management techniques (ontology, expert system, text mining, etc.), companies continue to store design rules in large and unstructured documents. To facilitate the integration of design rules and CAD software, we propose a knowledge graph that structures a large set of design rules in a computable format. The knowledge graph organises entities of design rules (nodes), relationships among design rules (edges), as well as contextual information. The categorisation of entities and relationships in four subcontexts: semantic, social, engineering, and IT - facilitates the development of the data model, especially the definition of the “design context” concept. The knowledge graph paves the way to a context-aware cognitive design assistant. Indeed, connected to or embedded in a CAD software, a context-aware cognitive design assistant will capture the design context in near real time and run reasoning operations on the knowledge graph to extend traditional CAD capabilities, such as the recommendation of design rules, the verification of design solutions, or the automation of design routines. Our validation experiment shows that the current version of the context-aware cognitive design assistant is more efficient than the traditional document-based design. On average, participants using an unstructured design rules document have a precision of 0.36 whereas participants using our demonstrator obtain a 0.61 precision score. Finally, designers supported by the design assistant spend more time designing than searching for applicable design rules compared to the traditional design approach. (C) 2020 Elsevier B.V. All rights reserved.",2021,"Huet, Armand; Pinquie, Romain; Veron, Philippe; Mallet, Antoine; Segonds, Frederic",COMPUTERS IN INDUSTRY,Knowledge graph; Knowledge management; Design rule; Cognitive assistant; Context-awareness
TechWord: Development of a technology lexical database for structuring textual technology information based on natural language processing,"The role of text mining based on technological documents such as patents is important in the research field of technology intelligence for technology R&D planning. In addition, WordNet, an English-based lexical database, is widely used for pre-processing text data such as word lemmatization and synonym search. However, technological vocabulary information is complex and specific, and WordNet's ability to analyze technological information is limited in its reflecting technological features. Thus, to improve the text mining performance of technological information, this study proposes a methodology for designing a TechWord-based lexical database that is based on the lexical characteristics of technological words that are differentiated from general words. To do this, we define TechWord, a technology lexical information, and construct a TechSynset, a synonym set between TechWords. First, through dependency parsing between words, TechWord, a unit word that describes a technology, is structured and identifies nouns and verbs. The importance of connectivity is investigated by a network centrality index analysis based on the dependency relations of words. Subsequently, to search for synonyms suitable for the target technology domain, a TechSynset is constructed through synset information, with an additional analysis that calculates cosine similarity based on a word embedding vector. Applying the proposed methodology to the actual technology-related information analysis, we collect patent data on the technological fields of the automotive field, and present the results of the TechWord and TechSynset. This study improves technological information-based text mining by structuring the word-to-word link information in technological documents based on an automated process.",2021,"Jang, Hyejin; Jeong, Yujin; Yoon, Byungun",EXPERT SYSTEMS WITH APPLICATIONS,Natural language processing; WordNet; Patent mining; Text mining; Lexical analysis
Automatic CAD model retrieval based on design documents using semantic processing and rule processing,"Reuse of CAD model is important for manufacturing companies where similar products are produced. If existing CAD models have design information related to the design of a new product, their reuse saves costs and reduces time of product design. Since design documents generated in the early design stage contain product specifications and design directions for new product design, they can be used as input queries to retrieve existing CAD models. In this paper, we propose an approach to retrieving CAD models with design documents. A major challenge of the proposed approach was reduction of semantic gap between design documents and CAD models because design documents generated in the early design stage contain abstract design descriptions, while CAD models contain detailed design descriptions. In order to reduce the semantic gap between CAD models and design documents, we adopt semantic processing and rule processing. During the semantic processing, semantic representations are generated from the text in CAD models and text in design documents using a domain ontology and shallow natural language processing (NLP). Hidden design information is extracted from CAD models and design documents based on rule processing. The experimental results show that the proposed approach can outperform the keyword-based approach which does not overcome semantic gap. (C) 2016 Published by Elsevier B.V.",2016,"Jeon, Sang Min; Lee, Jae Hyun; Hahm, Gyeong June; Suh, Hyo Won",COMPUTERS IN INDUSTRY,Semantic representation; Domain ontology; CAD model retrieval; Design document; Reverse-Engineering; Rule processing
An approach to the extraction of preference-related information from design team language,"The process of selecting among design alternatives is an important activity in the early stages of design. A designer is said to express design preferences when assigning priorities to a set of possible design choices. However, the assignment of preferences becomes more challenging on both a practical and theoretical level when performed by a group. This paper presents a probabilistic approach for estimating a team's overall preference-related information known as preferential probabilities that extracts information from the natural language used in team discussion transcripts without aggregation of individual team member opinions. Assessment of the method is conducted by surveying a design team to obtain quantitative ratings of alternatives. Two different approaches are applied to convert these ratings into values that may be compared to the results of transcript analysis: the application of a modified Logit model and simulation based on the principle of maximum entropy. The probabilistic approach proposed in the paper represents how likely a choice is to be “most preferred” by a design team over a given period of time. A preliminary design selection experiment was conducted as an illustrative case example of the method. Correlations were found between the preferential probabilities estimated from transcripts and those computed from the surveyed preferences. The proposed methods may provide a formal way to understand and represent informal, unstructured design information using a low overhead information extraction method.",2012,"Ji, Haifeng; Yang, Maria C.; Honda, Tomonori",RESEARCH IN ENGINEERING DESIGN,Concept selection; Design decision-making; Design preferences; Design process
A multi-objective PSO approach of mining association rules for affective design based on online customer reviews,"Affective design is an important aspect of new product development that can enhance customer satisfaction of new products. Previous studies generally conducted customer surveys based on questionnaires and interviews to collect customers' views and preferences of affective design of products. However, the process could be time-consuming and the survey data does not contain much sentiment expression. Presently, a large number of online customer reviews on products can be found on various websites that contain rich information of customer opinions and expectations. However, the generation of useful information based on online customer reviews for affective design has not been addressed in previous studies. In this paper, a methodology for generating association rules for supporting affective design based on online customer reviews is proposed which mainly involves opinion mining of affective dimensions from online customer reviews and association rule mining based on multi-objective particle swarm optimisation (PSO). Opinion mining is adopted to analyze online reviews and conduct sentiment analysis for affective dimensions. Based on the mined information and morphological analysis of products, a multi-objective PSO approach is proposed to generate association rules that depict the relationships between affective dimensions and design attributes. A case study was conducted to illustrate the proposed methodology.",2018,"Jiang, HM; Kwong, CK; Park, WY; Yu, KM",JOURNAL OF ENGINEERING DESIGN,Affective design; opinion mining; association rule mining; multi-objective PSO; GENETIC ALGORITHM; PRODUCT DESIGN; ROUGH SET; REGRESSION APPROACH; NEURAL-NETWORK; FORM DESIGN; SATISFACTION; FEATURES; SYSTEM; EXTRACTION
Predicting Future Importance of Product Features Based on Online Customer Reviews,"Previous studies conducted customer surveys based on questionnaires and interviews, and the survey data were then utilized to analyze product features. In recent years, online customer reviews on products became extremely popular, which contain rich information on customer opinions and expectations. However, previous studies failed to properly address the determination of the importance of product features and prediction of their future importance based on online reviews. Accordingly, a methodology for predicting future importance weights of product features based on online customer reviews is proposed in this paper which mainly involves opinion mining, a fuzzy inference method, and a fuzzy time series method. Opinion mining is adopted to analyze the online reviews and extract product features. A fuzzy inference method is used to determine the importance weights of product features using both frequencies and sentiment scores obtained from opinion mining. A fuzzy time series method is adopted to predict the future importance of product features. A case study on electric irons was conducted to illustrate the proposed methodology. To evaluate the effectiveness of the fuzzy time series method in predicting the future importance, the results obtained by the fuzzy time series method are compared with those obtained by the three common forecasting methods. The results of the comparison show that the prediction results based on fuzzy time series method are better than those based on exponential smoothing, simple moving average, and fuzzy moving average methods.",2017,"Jiang, HM; Kwong, CK; Yung, KL",JOURNAL OF MECHANICAL DESIGN,product features; opinion mining; fuzzy inference method; fuzzy time series method; new product development; ENGINEERING CHARACTERISTICS; REQUIREMENTS; OPINIONS; SYSTEM
Dynamic modelling of customer preferences for product design using DENFIS and opinion mining,"Previous studies mainly employed customer surveys to collect survey data for understanding customer preferences on products and developing customer preference models. In reality, customer preferences on products could change over time. Thus, the time series data of customer preferences under different time periods should be collected for the modelling of customer preferences. However, it is difficult to obtain the time series data based on customer surveys because of long survey time and substantial resources involved. In recent years, a large number of online customer reviews of products can be found on various websites, from which the time series data of customer preferences can be extracted easily. Some previous studies have attempted to analyse customer preferences on products based on online customer reviews. However, two issues were not addressed in previous studies which are the fuzziness of the sentiment expressed by customers existing in online reviews and the modelling of customer preferences based on the time series data obtained from online reviews. In this paper, a new methodology for dynamic modelling of customer preferences based on online customer reviews is proposed to address the two issues which mainly involves opinion mining and dynamic evolving neural-fuzzy inference system (DENFIS). Opinion mining is adopted to analyze online reviews and perform sentiment analysis on the reviews under different time periods. With the mined time series data and the product attribute settings of reviewed products, a DENFIS approach is introduced to perform the dynamic modelling of customer preferences. A case study is used to illustrate the proposed methodology. The results of validation tests indicate that the proposed DENFIS approach outperforms various adaptive neuro-fuzzy inference system (ANFIS) approaches in the dynamic modelling of customer preferences in terms of the mean relative error and variance of errors. In addition, the proposed DENFIS approach can provide both crisp and fuzzy outputs that cannot be realized by using existing ANFIS and conventional DENFIS approaches.",2019,"Jiang, Huimin; Kwong, C. K.; Kremer, G. E. Okudan; Park, W-Y",ADVANCED ENGINEERING INFORMATICS,New product development; Opinion mining; Customer preference; DENFIS
Technology-driven roadmaps for identifying new product/market opportunities: Use of text mining and quality function deployment,"A technology roadmap (TRM), an approach that is applied to the development of an emerging technology to meet business goals, is one of the most frequently adopted tools to support the process of technology innovation. Although many studies have dealt with TftMs that are designed primarily for a market-driven technology planning process, a technology-driven TRM is far less researched than a market-driven one. Furthermore, approaches to a technology-driven roadmap using quantitative technological information have rarely been studied. Thus, the aim of this research is to propose a new methodological framework to identify both profitable markets and promising product concepts based on technology information. This study suggests two quality function deployment (QFD) matrices to draw up the TRM in order to find new business opportunities. A case study is presented to illustrate the proposed approach using patents on the solar-lighting devices, which is catching on as a high-tech way to prevent environmental pollution and reduce fuel costs. (C) 2014 Elsevier Ltd. All rights reserved.",2015,"Jin, Gyungmi; Jeong, Yujin; Yoon, Byungun",ADVANCED ENGINEERING INFORMATICS,Patent analysis; Text mining; Quality function deployment (QFD); Keyword analysis; Technology roadmap (TRM); Technology-driven approach
Prioritising engineering characteristics based on customer online reviews for quality function deployment,"In market-driven product design, customer requirements (CRs) are usually obtained from consumer surveys. However, valuable CRs can also be found in a large number of online reviews. Largely due to their free text nature and the quantity, these reviews are often neglected and are seldom utilised directly by designers. In this work, one important question in quality function deployment on how to prioritise engineering characteristics (ECs) is investigated. Customer opinions concerning ECs are extracted from online reviews. By taking advantage of such opinion information, an ordinal classification approach is proposed to prioritise ECs. In a pairwise manner, in which customer opinions are deemed as features and the overall customer satisfactions are regarded as the target values, the weights of ECs are derived. Furthermore, an integer linear programming model is implemented to convert the pairwise results into the original customer satisfaction ratings. Finally, an exploratory case study is presented using reviews of four branded printers collected from Amazon and their analysis was conducted by two experienced design engineers. The experimental study reveals the merits of the proposed approach.",2014,"Jin, J; Ji, P; Liu, Y",JOURNAL OF ENGINEERING DESIGN,QFD; product design; user review analysis; engineering characteristics; customer reviews; PRODUCT REVIEWS; SATISFACTION; REGRESSION; QFD
Review on Recent Advances in Information Mining From Big Consumer Opinion Data for Product Design,"In this paper, based on more than ten years' studies on this dedicated research thrust, a comprehensive review concerning information mining from big consumer opinion data in order to assist product design is presented. First, the research background and the essential terminologies regarding online consumer opinion data are introduced. Next, studies concerning information extraction and information utilization of big consumer opinion data for product design are reviewed. Studies on information extraction of big consumer opinion data are explained from various perspectives, including data acquisition, opinion target recognition, feature identification and sentiment analysis, opinion summarization and sampling, etc. Reviews on information utilization of big consumer opinion data for product design are explored in terms of how to extract critical customer needs from big consumer opinion data, how to connect the voice of the customers with product design, how to make effective comparisons and reasonable ranking on similar products, how to identify ever-evolving customer concerns efficiently, and so on. Furthermore, significant and practical aspects of research trends are highlighted for future studies. This survey will facilitate researchers and practitioners to understand the latest development of relevant studies and applications centered on how big consumer opinion data can be processed, analyzed, and exploited in aiding product design.",2019,"Jin, J; Liu, Y; Ji, P; Kwong, CK",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,; QUALITY FUNCTION DEPLOYMENT; PRIORITIZING ENGINEERING CHARACTERISTICS; ORGANIZATIONAL KNOWLEDGE CREATION; ANALYTIC HIERARCHY PROCESS; CONCEPT GENERATION; CUSTOMER REQUIREMENTS; ONLINE REVIEWS; IDEA GENERATION; SUPPORT-SYSTEM; FUNCTIONAL DECOMPOSITION
Identifying comparative customer requirements from product online reviews for competitor analysis,"A large volume of product online reviews are generated from time to time, which contain rich information regarding customer requirements. These reviews help designers to make exhaustive analyses of competitors, which is one indispensable step in market-driven product design. How to extract critical opinionated sentences associated with some specific features from product online reviews has been investigated by some researchers. However, few of them examined how to employ these valuable resources for competitor analysis. Hence, in this research, a framework is illustrated to select pairs of opinionated representative yet comparative sentences with specific product features from reviews of competitive products. With the help of the techniques on sentiment analysis, opinionated sentences referring to a specific feature are first identified from product online reviews. Then, information representativeness, information comparativeness and information diversity are investigated for the selection of a small number of representative yet comparative opinionated sentences. Accordingly, an optimization problem is formulated, and three greedy algorithms are proposed to analyze this problem for suboptimal solutions. Finally, with a large amount of real data from Amazon.com, categories of extensive experiments are conducted and the final encouraging results are realized, which prove the effectiveness of the proposed approach. (C) 2015 Elsevier Ltd. All rights reserved.",2016,"Jin, Jian; Ji, Ping; Gu, Rui",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,Product design; Competitor analysis; Customer requirement; Product comparison; Representative yet comparative sentences; Review analysis
Translating online customer opinions into engineering characteristics in QFD: A probabilistic language analysis approach,"Online opinions provide informative customer requirements for product designers. However, the increasing volume of opinions make them hard to be digested entirely. It is expected to translate online opinions for designers automatically when they are launching a new product. In this research, an exploratory study is conducted, in which customer requirements in online reviews are manually translated into engineering characteristics (ECs) for Quality function deployment (QFD). From the exploratory study, a simple mapping from keywords to ECs is observed not able to be built. It is also found that it will be a time-consuming task to translate a large number of reviews. Accordingly, a probabilistic language analysis approach is proposed, which translates reviews into ECs automatically. In particular, the statistic concurrence information between keywords and nearby words is analyzed. Based on the unigram model and the bigram model, an integrated impact learning algorithm is advised to estimate the impacts of keywords and nearby words respectively. The estimated impacts are utilized to infer which ECs are implied in a given context. Using four brands of printer reviews from Amazon.com, comparative experiments are conducted. Finally, an illustrative example is shown to clarify how this approach can be applied by designers in QFD. (C) 2015 Elsevier Ltd. All rights reserved.",2015,"Jin, Jian; Ji, Ping; Liu, Ying",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,Product design; QFD; Product review analysis; Customer needs; Customer reviews; Product engineering characteristics
Approach for Importance-Performance Analysis of Product Attributes From Online Reviews,"The importance-performance analysis (IPA) is a widely used technique to guide strategic planning for the improvement of customer satisfaction. Compared with surveys, numerous online reviews can be easily collected at a lower cost. Online reviews provide a promising source for the IPA. This paper proposes an approach for conducting the IPA from online reviews for product design. Product attributes from online reviews are first identified by latent Dirichlet allocation. The performance of the identified attributes is subsequently estimated by the aspect-based sentiment analysis of IBM Watson. Finally, the importance of the identified attributes is estimated by evaluating the effect of sentiments of each product attribute on the overall rating using an explainable deep neural network. A Shapley additive explanation-based method is proposed to estimate the importance values of product attributes with a low variance by combining the effect of the input features from multiple optimal neural networks with a high performance. A case study of smartphones is presented to demonstrate the proposed approach. The performance and importance estimates of the proposed approach are compared with those of previous sentiment analysis and neural network-based method, and the results exhibit that the former can perform IPA more reliably. The proposed approach uses minimal manual operation and can support companies to take decisions rapidly and effectively, compared with survey-based methods.",2021,"Joung, Junegak; Kim, Harrison M.",JOURNAL OF MECHANICAL DESIGN,data-driven design; neural network; interpretable machine learning
Characterizing innovative processes in design spaces through measuring the information entropy of empirical data from protocol studies,"This paper reports on a study characterizing design processes and the potential of design spaces through measuring the information entropy of empirical data derived from protocol studies. The sequential segments in a protocol analysis can be related to each other by examining their semantic content producing a design session's linkograph, which defines the design space for a design session. From a linkograph, it is possible to compute the probabilities of the connectivity of each segment for its forelinks and its backlinks, together with the probabilities of distance among links. A linkograph's entropy is a measure of the information in the design session. It is claimed that the entropy of the linkograph measures the potential of the design space being generated as the design proceeds chronologically. We present an approach to the automated construction of linkographs by connecting segments using the lexical database WordNet and measure its entropy. A case study of two design sessions with different characteristics was conducted, one considered more productive and creative, the other more pragmatic. Those segments with high entropy and those associated with high rates of change of entropy are analyzed. The creative session has a higher linkograph entropy. This result indicates the potential of using entropy to characterize a design process.",2018,"Kan, JWT; Gero, JS",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Design Processes; Entropy; Information Analysis; Protocol Studies; 
